餐廳名稱,縣市,行政區,地址,電話,餐廳類型,價格範圍（元）,可訂位,限時,親子友善,寵物友善,支付方式,,
喬登西餐,臺中市,南區,臺中市柏信路221號,04-3353-9833,西餐廳,500－700,是,無,是,否,現金、信用卡,,
寶黛西餐廳,臺中市,南區,臺中市柏壽路2號,04-3353-9834,西餐廳,500－700,是,無,是,否,現金、信用卡,,
澤美西餐廳,臺中市,南區,臺中市人愛路四段77號,04-3353-9835,西餐廳,700－900,是,無,是,是,現金、信用卡,,
公爵西餐廳,臺中市,北區,臺中市大華路二段135號,04-3353-9836,西餐廳,500－700,是,無,是,否,現金、信用卡,,
雅苑牛排,臺中市,北區,臺中市人愛路四段105巷1號,04-3353-9837,西餐廳,500－700,是,90分鐘,是,否,現金、信用卡,,
好萌牛頂級麻辣養生鍋,臺中市,中區,臺中市博愛路145號,04-3353-9838,麻辣火鍋店,200－300,是,90分鐘,否,否,現金、信用卡,,
唐苑鴛鴦鍋,臺中市,中區,臺中市自助路596號,04-3353-9839,麻辣火鍋店,200－300,是,120分鐘,否,否,現金、信用卡,,
西門慶麻辣火鍋,臺中市,西區,臺中市西門街13巷12號,04-3353-9840,燒肉店,300－500,是,無,否,否,現金,,
王道日式燒肉,臺中市,北區,臺中市中華路80號,04-3353-9841,燒肉店,200－300,是,90分鐘,否,否,現金、信用卡,,
究極燒肉,臺中市,東區,臺中市復興路34號,04-3353-9842,燒肉店,200－300,否,70分鐘,否,否,現金,,
東大門燒肉館,臺中市,東區,臺中市中興路104號,04-3353-9843,燒肉店,300－500,否,無,否,否,現金,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
