出發地,目的地,對號座全票,對號座優待票,自由座全票,自由座優待票
台北,板橋,40,20,30,15
台北,新竹,290,145,280,140
台北,台中,700,350,670,335
台北,台南,1350,675,1300,650
台北,左營,1490,745,1440,720
板橋,新竹,260,130,250,125
板橋,台中,670,335,640,320
板橋,台南,1320,660,1280,640
板橋,左營,1460,730,1410,705
新竹,台中,410,205,390,195
新竹,台南,1060,530,1020,510
新竹,左營,1200,600,1160,580
台中,台南,650,325,630,315
台中,左營,790,395,760,380
台南,左營,140,70,130,65
板橋,台北,40,20,30,15
新竹,台北,290,145,280,140
台中,台北,700,350,670,335
台南,台北,1350,675,1300,650
左營,台北,1490,745,1440,720
新竹,板橋,260,130,250,125
台中,板橋,670,335,640,320
台南,板橋,1320,660,1280,640
左營,板橋,1460,730,1410,705
台中,新竹,410,205,390,195
台南,新竹,1060,530,1020,510
左營,新竹,1200,600,1160,580
台南,台中,650,325,630,315
左營,台中,790,395,760,380
左營,台南,140,70,130,65
