地區,縣市,2020/12/05,2020/12/06,2020/12/07,2020/12/08
北部,新北市,陣雨,晴時多雲,午後陣雨,晴時多雲
北部,宜蘭縣,午後陣雨,晴時多雲,午後陣雨,晴時多雲
北部,桃園市,晴天,晴天,午後陣雨,晴時多雲
中部,苗栗縣,晴時多雲,晴天,晴天,晴天
中部,臺中縣,晴時多雲,晴天,晴天,晴天
中部,彰化縣,晴時多雲,晴天,晴天,晴天
中部,南投縣,陣雨,晴天,晴天,晴天
中部,雲林縣,午後陣雨,晴時多雲,晴天,晴天
南部,嘉義縣,晴時多雲,晴天,晴時多雲,晴天
南部,嘉義市,午前有陣雨,晴時多雲,晴時多雲,晴天
南部,臺南市,午前有陣雨,晴時多雲,晴時多雲,晴天
南部,高雄市,多雲時陰,晴時多雲,晴天,晴天
南部,屏東縣,多雲時陰,晴時多雲,晴天,晴時多雲
東部,花蓮縣,午後陣雨,晴時多雲,晴天,晴時多雲
離島,澎湖縣,多雲時陰,晴時多雲,晴天,晴天
離島,金門縣,晴時多雲,晴天,晴天,午前有陣雨
離島,連江縣(馬祖),晴時多雲,晴天,晴天,午前有陣雨
東部,台東縣,多雲時陰,晴時多雲,晴天,晴時多雲
北部,新竹縣,晴時多雲,晴天,晴天,晴天
北部,新竹市,晴時多雲,晴天,晴天,晴天
北部,基隆市,陣雨,晴天,午後陣雨,晴時多雲
北部,臺北市,陣雨,晴天,午後陣雨,晴時多雲
