出發地,目的地,區間車,莒光號,自強號,普悠瑪號
基隆,七堵,15,18,23,23
基隆,汐止,19,23,30,30
基隆,南港,28,33,43,43
基隆,台北,41,50,64,64
基隆,萬華,45,54,71,71
基隆,板橋,52,62,81,81
七堵,汐止,15,18,23,23
七堵,南港,19,23,30,30
七堵,台北,33,39,51,51
七堵,萬華,37,44,57,57
七堵,板橋,43,52,67,67
汐止,南港,15,18,23,23
汐止,台北,22,27,35,35
汐止,萬華,26,32,41,41
汐止,板橋,33,39,51,51
南港,台北,15,18,23,23
南港,萬華,18,21,27,27
南港,板橋,24,29,37,37
台北,萬華,15,18,23,23
台北,板橋,15,18,23,23
萬華,板橋,15,18,23,23
七堵,基隆,15,18,23,23
汐止,基隆,19,23,30,30
南港,基隆,28,33,43,43
台北,基隆,41,50,64,64
萬華,基隆,45,54,71,71
板橋,基隆,52,62,81,81
汐止,七堵,15,18,23,23
南港,七堵,19,23,30,30
台北,七堵,33,39,51,51
萬華,七堵,37,44,57,57
板橋,七堵,43,52,67,67
南港,汐止,15,18,23,23
台北,汐止,22,27,35,35
萬華,汐止,26,32,41,41
板橋,汐止,33,39,51,51
台北,南港,15,18,23,23
萬華,南港,18,21,27,27
板橋,南港,24,29,37,37
萬華,台北,15,18,23,23
板橋,台北,15,18,23,23
板橋,萬華,15,18,23,23
